"",BBFN1.M.DE.N.1.L.AU.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AU.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:35,
1975-12,0.003,
1976-01,0.004,
1976-02,0.005,
1976-03,0.005,
1976-04,0.006,
1976-05,0.006,
1976-06,0.009,
1976-07,0.009,
1976-08,0.008,
1976-09,0.009,
1976-10,0.008,
1976-11,0.008,
1976-12,0.007,
1977-01,0.004,
1977-02,0.005,
1977-03,0.003,
1977-04,0.003,
1977-05,0.003,
1977-06,0.005,
1977-07,0.007,
1977-08,0.003,
1977-09,0.003,
1977-10,0.003,
1977-11,0.003,
1977-12,0.003,
1978-01,0.003,
1978-02,0.003,
1978-03,0.003,
1978-04,0.003,
1978-05,0.003,
1978-06,0.006,
1978-07,0.003,
1978-08,0.004,
1978-09,0.004,
1978-10,0.004,
1978-11,0.004,
1978-12,0.004,
1979-01,0.004,
1979-02,0.005,
1979-03,0.004,
1979-04,0.004,
1979-05,0.004,
1979-06,0.003,
1979-07,0.003,
1979-08,0.003,
1979-09,0.004,
1979-10,0.003,
1979-11,0.003,
1979-12,0.001,
1980-01,0.012,
1980-02,0.009,
1980-03,0.009,
1980-04,0.006,
1980-05,0.006,
1980-06,0.004,
1980-07,0.011,
1980-08,0.004,
1980-09,0.003,
1980-10,0.003,
1980-11,0.002,
1980-12,0.002,
1981-01,0.002,
1981-02,0.003,
1981-03,0.002,
1981-04,0.001,
1981-05,0.001,
1981-06,0.001,
1981-07,0.001,
1981-08,0.002,
1981-09,0.001,
1981-10,0.001,
1981-11,0.001,
1981-12,0.002,
1982-01,0.001,
1982-02,0.001,
1982-03,0.001,
1982-04,0.005,
1982-05,0.005,
1982-06,0.005,
1982-07,0.004,
1982-08,0.004,
1982-09,0.008,
1982-10,0.008,
1982-11,0.008,
1982-12,0.008,
1983-01,0.008,
1983-02,0.008,
1983-03,0.009,
1983-04,0.009,
1983-05,0.009,
1983-06,0.022,
1983-07,0.008,
1983-08,0.009,
1983-09,0.007,
1983-10,0.017,
1983-11,0.020,
1983-12,0.018,
1984-01,0.018,
1984-02,0.018,
1984-03,0.016,
1984-04,0.016,
1984-05,0.008,
1984-06,0.004,
1984-07,0.004,
1984-08,0.004,
1984-09,0.004,
1984-10,0.005,
1984-11,0.011,
1984-12,0.002,
1985-01,0.002,
1985-02,0.003,
1985-03,0.002,
1985-04,0.002,
1985-05,0.002,
1985-06,0.003,
1985-07,0.002,
1985-08,0.002,
1985-09,0.004,
1985-10,0.005,
1985-11,0.019,
1985-12,0.018,
1986-01,0.019,
1986-02,0.020,
1986-03,0.021,
1986-04,0.018,
1986-05,0.019,
1986-06,0.020,
1986-07,0.022,
1986-08,0.020,
1986-09,0.020,
1986-10,0.021,
1986-11,0.021,
1986-12,0.021,
1987-01,0.030,
1987-02,0.030,
1987-03,0.031,
1987-04,0.097,
1987-05,0.078,
1987-06,0.099,
1987-07,0.097,
1987-08,0.097,
1987-09,0.098,
1987-10,0.097,
1987-11,0.106,
1987-12,0.107,
1988-01,0.108,
1988-02,0.111,
1988-03,0.112,
1988-04,0.112,
1988-05,0.112,
1988-06,0.115,
1988-07,0.123,
1988-08,0.121,
1988-09,0.121,
1988-10,0.122,
1988-11,0.123,
1988-12,0.123,
1989-01,0.124,
1989-02,0.126,
1989-03,0.129,
1989-04,0.131,
1989-05,0.129,
1989-06,0.130,
1989-07,0.130,
1989-08,0.130,
1989-09,0.130,
1989-10,0.131,
1989-11,0.129,
1989-12,0.131,
1990-01,0.138,
1990-02,0.164,
1990-03,0.163,
1990-04,0.222,
1990-05,0.225,
1990-06,0.241,
1990-07,0.241,
1990-08,0.238,
1990-09,0.274,
1990-10,0.274,
1990-11,0.267,
1990-12,0.263,
1991-01,0.267,
1991-02,0.295,
1991-03,0.298,
1991-04,0.236,
1991-05,0.240,
1991-06,0.240,
1991-07,0.209,
1991-08,0.213,
1991-09,0.207,
1991-10,0.231,
1991-11,0.229,
1991-12,0.229,
1992-01,0.233,
1992-02,0.245,
1992-03,0.258,
1992-04,0.261,
1992-05,0.266,
1992-06,0.286,
1992-07,0.280,
1992-08,0.284,
1992-09,0.286,
1992-10,0.302,
1992-11,0.305,
1992-12,0.298,
1993-01,0.301,
1993-02,0.344,
1993-03,0.350,
1993-04,0.346,
1993-05,0.354,
1993-06,0.436,
1993-07,0.433,
1993-08,0.440,
1993-09,0.485,
1993-10,0.496,
1993-11,0.501,
1993-12,0.455,
1994-01,0.469,
1994-02,0.490,
1994-03,0.505,
1994-04,0.525,
1994-05,0.444,
1994-06,0.445,
1994-07,0.437,
1994-08,0.452,
1994-09,0.450,
1994-10,0.452,
1994-11,0.452,
1994-12,0.462,
1995-01,0.452,
1995-02,0.464,
1995-03,0.510,
1995-04,0.473,
1995-05,0.464,
1995-06,0.459,
1995-07,0.457,
1995-08,0.472,
1995-09,0.486,
1995-10,0.486,
1995-11,0.440,
1995-12,0.463,
1996-01,0.443,
1996-02,0.451,
1996-03,0.472,
1996-04,0.509,
1996-05,0.544,
1996-06,0.485,
1996-07,0.489,
1996-08,0.485,
1996-09,0.525,
1996-10,0.503,
1996-11,0.531,
1996-12,0.541,
1997-01,0.519,
1997-02,0.436,
1997-03,0.431,
1997-04,.,No value available
1997-05,0.447,
1997-06,0.403,
1997-07,0.366,
1997-08,0.334,
1997-09,0.325,
1997-10,0.323,
1997-11,0.351,
1997-12,0.345,
1998-01,0.363,
1998-02,0.369,
1998-03,0.334,
1998-04,0.328,
1998-05,0.333,
1998-06,0.348,
1998-07,0.305,
1998-08,0.235,
1998-09,0.230,
1998-10,0.228,
1998-11,0.217,
1998-12,0.223,
1999-01,.,No value available
1999-02,0.239,
1999-03,0.201,
1999-04,0.213,
1999-05,0.225,
1999-06,0.234,
1999-07,0.252,
1999-08,0.241,
1999-09,0.255,
1999-10,0.204,
1999-11,0.241,
1999-12,0.208,
2000-01,0.210,
2000-02,0.239,
2000-03,0.233,
2000-04,0.240,
2000-05,0.238,
2000-06,0.205,
2000-07,0.209,
2000-08,0.210,
2000-09,0.184,
2000-10,0.211,
2000-11,0.214,
2000-12,0.304,
2001-01,0.201,
2001-02,0.185,
2001-03,0.165,
2001-04,0.184,
2001-05,0.181,
2001-06,0.247,
2001-07,0.134,
2001-08,0.145,
2001-09,0.191,
2001-10,0.134,
2001-11,0.117,
2001-12,0.163,
2002-01,0.138,
2002-02,0.168,
2002-03,0.203,
2002-04,0.171,
2002-05,0.169,
2002-06,0.229,
2002-07,0.210,
2002-08,0.223,
2002-09,0.761,
2002-10,0.728,
2002-11,0.772,
2002-12,0.718,
2003-01,0.739,
2003-02,0.737,
2003-03,1.002,
2003-04,1.013,
2003-05,0.991,
2003-06,1.117,
2003-07,1.095,
2003-08,1.079,
2003-09,1.277,
2003-10,1.244,
2003-11,1.294,
2003-12,1.287,
2004-01,1.491,
2004-02,1.485,
2004-03,1.808,
2004-04,1.799,
2004-05,1.828,
2004-06,2.299,
2004-07,2.303,
2004-08,2.188,
2004-09,2.243,
2004-10,2.297,
2004-11,2.298,
2004-12,2.262,
2005-01,0.148,
2005-02,0.143,
2005-03,0.132,
2005-04,0.130,
2005-05,0.134,
2005-06,0.154,
2005-07,0.171,
2005-08,0.222,
2005-09,0.176,
2005-10,0.209,
2005-11,0.199,
2005-12,0.209,
2006-01,0.203,
2006-02,0.207,
2006-03,0.199,
2006-04,0.176,
2006-05,0.240,
2006-06,0.256,
2006-07,0.252,
2006-08,0.258,
2006-09,0.275,
2006-10,0.264,
2006-11,0.299,
2006-12,0.292,
2007-01,0.271,
2007-02,0.279,
2007-03,0.502,
2007-04,0.322,
2007-05,0.404,
2007-06,0.309,
2007-07,0.309,
2007-08,0.316,
2007-09,0.379,
2007-10,0.380,
2007-11,0.417,
2007-12,0.358,
2008-01,0.471,
2008-02,0.433,
2008-03,0.387,
2008-04,0.481,
2008-05,0.496,
2008-06,0.533,
2008-07,0.563,
2008-08,0.552,
2008-09,0.620,
2008-10,0.621,
2008-11,0.765,
2008-12,0.872,
2009-01,0.689,
2009-02,0.798,
2009-03,1.210,
2009-04,0.900,
2009-05,1.019,
2009-06,0.962,
2009-07,0.985,
2009-08,1.022,
2009-09,0.879,
2009-10,0.936,
2009-11,0.889,
2009-12,0.847,
2010-01,0.867,
2010-02,0.920,
2010-03,0.900,
2010-04,0.717,
2010-05,0.843,
2010-06,0.969,
2010-07,1.025,
2010-08,1.069,
2010-09,1.165,
2010-10,1.139,
2010-11,1.286,
2010-12,1.271,
2011-01,1.031,
2011-02,1.020,
2011-03,0.857,
2011-04,0.881,
2011-05,0.956,
2011-06,1.380,
2011-07,1.125,
2011-08,1.203,
2011-09,1.297,
2011-10,1.246,
2011-11,1.155,
2011-12,1.172,
2012-01,1.121,
2012-02,1.277,
2012-03,1.097,
2012-04,1.113,
2012-05,1.097,
2012-06,1.307,
2012-07,1.276,
2012-08,1.267,
2012-09,1.221,
2012-10,1.275,
2012-11,1.274,
2012-12,1.405,
2013-01,1.404,
2013-02,1.518,
2013-03,1.306,
2013-04,1.264,
2013-05,1.128,
2013-06,1.252,
2013-07,1.202,
2013-08,1.059,
2013-09,1.270,
2013-10,1.120,
2013-11,0.992,
2013-12,1.025,
2014-01,0.853,
2014-02,1.010,
2014-03,1.085,
2014-04,1.029,
2014-05,1.040,
2014-06,1.106,
2014-07,1.053,
2014-08,1.064,
2014-09,1.131,
2014-10,1.116,
2014-11,1.047,
2014-12,1.043,
