"",BBFN1.M.DE.N.1.L.BR.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BR.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Brazil,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:32,
1975-12,0.009,
1976-01,0.010,
1976-02,0.010,
1976-03,0.010,
1976-04,0.010,
1976-05,0.010,
1976-06,0.012,
1976-07,0.010,
1976-08,0.010,
1976-09,0.013,
1976-10,0.011,
1976-11,0.010,
1976-12,0.011,
1977-01,0.010,
1977-02,0.011,
1977-03,0.010,
1977-04,0.010,
1977-05,0.010,
1977-06,0.009,
1977-07,0.009,
1977-08,0.008,
1977-09,0.009,
1977-10,0.009,
1977-11,0.009,
1977-12,0.009,
1978-01,0.012,
1978-02,0.008,
1978-03,0.010,
1978-04,0.010,
1978-05,0.017,
1978-06,0.010,
1978-07,0.010,
1978-08,0.010,
1978-09,0.009,
1978-10,0.009,
1978-11,0.021,
1978-12,0.033,
1979-01,0.013,
1979-02,0.017,
1979-03,0.015,
1979-04,0.011,
1979-05,0.012,
1979-06,0.012,
1979-07,0.012,
1979-08,0.014,
1979-09,0.014,
1979-10,0.014,
1979-11,0.014,
1979-12,0.015,
1980-01,0.014,
1980-02,0.013,
1980-03,0.017,
1980-04,0.020,
1980-05,0.019,
1980-06,0.020,
1980-07,0.020,
1980-08,0.021,
1980-09,0.015,
1980-10,0.021,
1980-11,0.018,
1980-12,0.021,
1981-01,0.023,
1981-02,0.015,
1981-03,0.017,
1981-04,0.016,
1981-05,0.017,
1981-06,0.019,
1981-07,0.028,
1981-08,0.020,
1981-09,0.017,
1981-10,0.021,
1981-11,0.021,
1981-12,0.036,
1982-01,0.034,
1982-02,0.035,
1982-03,0.041,
1982-04,0.039,
1982-05,0.039,
1982-06,0.038,
1982-07,0.037,
1982-08,0.026,
1982-09,0.028,
1982-10,0.039,
1982-11,0.031,
1982-12,0.029,
1983-01,0.030,
1983-02,0.027,
1983-03,0.025,
1983-04,0.021,
1983-05,0.031,
1983-06,0.037,
1983-07,0.049,
1983-08,0.035,
1983-09,0.035,
1983-10,0.034,
1983-11,0.032,
1983-12,0.035,
1984-01,0.039,
1984-02,0.027,
1984-03,0.045,
1984-04,0.037,
1984-05,0.039,
1984-06,0.037,
1984-07,0.040,
1984-08,0.038,
1984-09,0.039,
1984-10,0.036,
1984-11,0.036,
1984-12,0.038,
1985-01,0.038,
1985-02,0.039,
1985-03,0.035,
1985-04,0.031,
1985-05,0.030,
1985-06,0.028,
1985-07,0.023,
1985-08,0.022,
1985-09,0.025,
1985-10,0.025,
1985-11,0.026,
1985-12,0.032,
1986-01,0.041,
1986-02,0.039,
1986-03,0.041,
1986-04,0.030,
1986-05,0.031,
1986-06,0.026,
1986-07,0.025,
1986-08,0.032,
1986-09,0.029,
1986-10,0.029,
1986-11,0.027,
1986-12,0.027,
1987-01,0.026,
1987-02,0.027,
1987-03,0.032,
1987-04,0.032,
1987-05,0.036,
1987-06,0.036,
1987-07,0.036,
1987-08,0.039,
1987-09,0.038,
1987-10,0.038,
1987-11,0.039,
1987-12,0.037,
1988-01,0.042,
1988-02,0.042,
1988-03,0.034,
1988-04,0.034,
1988-05,0.033,
1988-06,0.037,
1988-07,0.036,
1988-08,0.037,
1988-09,0.033,
1988-10,0.033,
1988-11,0.034,
1988-12,0.036,
1989-01,0.033,
1989-02,0.034,
1989-03,0.038,
1989-04,0.037,
1989-05,0.032,
1989-06,0.031,
1989-07,0.031,
1989-08,.,No value available
1989-09,.,No value available
1989-10,.,No value available
1989-11,.,No value available
1989-12,.,No value available
1990-01,.,No value available
1990-02,.,No value available
1990-03,.,No value available
1990-04,.,No value available
1990-05,.,No value available
1990-06,.,No value available
1990-07,.,No value available
1990-08,.,No value available
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,.,No value available
1991-01,.,No value available
1991-02,.,No value available
1991-03,.,No value available
1991-04,.,No value available
1991-05,.,No value available
1991-06,.,No value available
1991-07,.,No value available
1991-08,.,No value available
1991-09,.,No value available
1991-10,.,No value available
1991-11,.,No value available
1991-12,.,No value available
1992-01,.,No value available
1992-02,.,No value available
1992-03,.,No value available
1992-04,.,No value available
1992-05,.,No value available
1992-06,.,No value available
1992-07,.,No value available
1992-08,.,No value available
1992-09,.,No value available
1992-10,.,No value available
1992-11,.,No value available
1992-12,.,No value available
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,0.044,
1993-05,.,No value available
1993-06,.,No value available
1993-07,0.042,
1993-08,0.043,
1993-09,0.048,
1993-10,0.048,
1993-11,0.043,
1993-12,0.044,
1994-01,0.044,
1994-02,.,No value available
1994-03,0.046,
1994-04,0.041,
1994-05,.,No value available
1994-06,0.037,
1994-07,0.032,
1994-08,0.038,
1994-09,0.035,
1994-10,0.036,
1994-11,0.038,
1994-12,0.044,
1995-01,0.037,
1995-02,0.036,
1995-03,0.033,
1995-04,0.035,
1995-05,0.032,
1995-06,0.029,
1995-07,0.022,
1995-08,0.031,
1995-09,0.028,
1995-10,0.029,
1995-11,.,No value available
1995-12,0.151,
1996-01,0.035,
1996-02,0.035,
1996-03,0.049,
1996-04,0.061,
1996-05,0.050,
1996-06,0.035,
1996-07,0.029,
1996-08,0.047,
1996-09,0.039,
1996-10,0.040,
1996-11,0.045,
1996-12,0.151,
1997-01,0.052,
1997-02,0.043,
1997-03,0.043,
1997-04,0.036,
1997-05,0.048,
1997-06,0.052,
1997-07,0.038,
1997-08,0.038,
1997-09,0.036,
1997-10,0.044,
1997-11,0.038,
1997-12,0.181,
1998-01,0.035,
1998-02,0.031,
1998-03,0.030,
1998-04,0.028,
1998-05,0.029,
1998-06,0.038,
1998-07,0.033,
1998-08,0.038,
1998-09,0.155,
1998-10,0.070,
1998-11,0.077,
1998-12,0.069,
1999-01,0.066,
1999-02,0.074,
1999-03,0.076,
1999-04,0.065,
1999-05,0.065,
1999-06,0.087,
1999-07,0.071,
1999-08,0.048,
1999-09,0.053,
1999-10,0.056,
1999-11,.,No value available
1999-12,0.060,
2000-01,0.087,
2000-02,0.073,
2000-03,0.102,
2000-04,0.064,
2000-05,0.064,
2000-06,0.069,
2000-07,0.074,
2000-08,0.082,
2000-09,0.107,
2000-10,0.112,
2000-11,0.103,
2000-12,0.113,
2001-01,0.120,
2001-02,0.106,
2001-03,.,No value available
2001-04,0.095,
2001-05,0.058,
2001-06,0.063,
2001-07,0.064,
2001-08,0.077,
2001-09,0.076,
2001-10,0.075,
2001-11,0.073,
2001-12,0.099,
2002-01,0.079,
2002-02,0.078,
2002-03,0.052,
2002-04,0.070,
2002-05,0.069,
2002-06,0.067,
2002-07,0.048,
2002-08,0.048,
2002-09,0.056,
2002-10,0.039,
2002-11,0.036,
2002-12,0.040,
2003-01,0.056,
2003-02,0.084,
2003-03,0.084,
2003-04,0.079,
2003-05,0.080,
2003-06,0.079,
2003-07,.,No value available
2003-08,0.075,
2003-09,0.077,
2003-10,0.097,
2003-11,0.103,
2003-12,0.073,
2004-01,0.093,
2004-02,0.076,
2004-03,0.075,
2004-04,0.078,
2004-05,0.076,
2004-06,0.074,
2004-07,0.076,
2004-08,0.077,
2004-09,0.078,
2004-10,0.079,
2004-11,0.071,
2004-12,0.069,
2005-01,0.074,
2005-02,0.079,
2005-03,0.081,
2005-04,0.093,
2005-05,0.087,
2005-06,0.082,
2005-07,0.078,
2005-08,0.075,
2005-09,0.086,
2005-10,0.069,
2005-11,0.060,
2005-12,0.064,
2006-01,0.124,
2006-02,0.129,
2006-03,0.096,
2006-04,0.250,
2006-05,0.072,
2006-06,0.083,
2006-07,0.080,
2006-08,0.082,
2006-09,0.080,
2006-10,0.095,
2006-11,0.089,
2006-12,0.087,
2007-01,0.093,
2007-02,0.099,
2007-03,0.092,
2007-04,0.095,
2007-05,0.103,
2007-06,0.097,
2007-07,0.084,
2007-08,0.085,
2007-09,0.095,
2007-10,0.080,
2007-11,0.141,
2007-12,0.083,
2008-01,0.082,
2008-02,0.089,
2008-03,0.067,
2008-04,0.070,
2008-05,0.086,
2008-06,0.067,
2008-07,0.069,
2008-08,0.075,
2008-09,0.077,
2008-10,0.088,
2008-11,0.118,
2008-12,0.120,
2009-01,0.125,
2009-02,0.122,
2009-03,0.131,
2009-04,0.069,
2009-05,0.087,
2009-06,0.039,
2009-07,0.037,
2009-08,0.063,
2009-09,0.067,
2009-10,0.050,
2009-11,0.043,
2009-12,0.062,
2010-01,0.072,
2010-02,0.071,
2010-03,0.081,
2010-04,0.079,
2010-05,0.068,
2010-06,0.078,
2010-07,0.080,
2010-08,0.075,
2010-09,0.073,
2010-10,0.059,
2010-11,0.044,
2010-12,0.068,
2011-01,0.064,
2011-02,0.055,
2011-03,0.104,
2011-04,0.101,
2011-05,0.108,
2011-06,0.108,
2011-07,0.120,
2011-08,0.123,
2011-09,0.121,
2011-10,0.105,
2011-11,0.114,
2011-12,0.137,
2012-01,0.155,
2012-02,0.165,
2012-03,0.174,
2012-04,0.185,
2012-05,0.181,
2012-06,0.188,
2012-07,0.179,
2012-08,0.177,
2012-09,0.112,
2012-10,0.106,
2012-11,0.090,
2012-12,0.103,
2013-01,0.103,
2013-02,0.098,
2013-03,0.088,
2013-04,0.101,
2013-05,0.126,
2013-06,0.110,
2013-07,0.115,
2013-08,0.111,
2013-09,0.115,
2013-10,0.132,
2013-11,0.123,
2013-12,0.080,
2014-01,0.085,
2014-02,0.076,
2014-03,0.074,
2014-04,0.055,
2014-05,0.070,
2014-06,0.071,
2014-07,0.065,
2014-08,0.064,
2014-09,0.059,
2014-10,0.043,
2014-11,0.044,
2014-12,0.045,
