"",BBK01.OEAH13O,BBK01.OEAH13O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:52,
2002-01,5.480,
2002-04,5.135,
2002-07,5.039,
2002-10,5.020,
2003-01,4.849,
2003-04,4.654,
2003-07,4.543,
2003-10,4.569,
2004-01,4.641,
2004-04,4.463,
2004-07,4.409,
2004-10,4.516,
2005-01,4.901,
2005-04,4.920,
2005-07,4.497,
2005-10,4.788,
2006-01,5.075,
2006-04,5.203,
2006-07,5.273,
2006-10,5.413,
2007-01,5.402,
2007-04,5.143,
2007-07,5.154,
2007-10,5.250,
2008-01,4.978,
2008-04,4.569,
2008-07,4.062,
2008-10,4.205,
2009-01,4.408,
2009-04,5.005,
2009-07,5.674,
2009-10,6.275,
2010-01,6.500,
2010-04,6.245,
2010-07,5.907,
2010-10,5.700,
2011-01,5.518,
2011-04,5.266,
2011-07,5.128,
2011-10,4.759,
2012-01,4.750,
2012-04,4.730,
2012-07,4.720,
2012-10,4.726,
2013-01,4.838,
2013-04,4.671,
2013-07,4.509,
2013-10,4.500,
2014-01,4.372,
2014-04,4.327,
2014-07,4.422,
