"",BBK01.OECO06U,BBK01.OECO06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:01,
2002-01,0.733,
2002-04,0.580,
2002-07,0.584,
2002-10,0.644,
2003-01,0.652,
2003-04,0.626,
2003-07,0.644,
2003-10,0.641,
2004-01,0.621,
2004-04,0.649,
2004-07,0.688,
2004-10,0.714,
2005-01,1.408,
2005-04,1.383,
2005-07,1.374,
2005-10,1.350,
2006-01,1.341,
2006-04,1.308,
2006-07,1.269,
2006-10,1.253,
2007-01,1.261,
2007-04,1.242,
2007-07,1.211,
2007-10,1.229,
2008-01,1.217,
2008-04,1.243,
2008-07,1.207,
2008-10,1.229,
2009-01,1.252,
2009-04,1.277,
2009-07,1.319,
2009-10,1.359,
2010-01,1.376,
2010-04,1.383,
2010-07,1.400,
2010-10,1.400,
2011-01,1.382,
2011-04,1.363,
2011-07,1.346,
2011-10,1.343,
2012-01,1.449,
2012-04,1.429,
2012-07,1.445,
2012-10,1.495,
2013-01,1.485,
2013-04,1.471,
2013-07,1.463,
2013-10,1.481,
2014-01,1.475,
2014-04,1.450,
2014-07,1.483,
